Review_Text,Sentiment
"O'rtacha daraja, eda normal edi, lekin musiqa baland chalindi.",3
"Yaxshi kafe ekan, Joylashuv ogizda eriydi edi.",4
"Tozalik nixoyatda mazali edi edi, lekin xizmati juda yomon.",3
"Barchasi zo'r! eda mukammal, porsiyalar kutilganidan katta edi.",5
"Xodimlar juda muloyim va tezkor, xizmat ko'rsatish zo'r.",5
"Eng yaxsxi restoranlardan biri, Muxit va interyeri ajoyib edi.",4
"Yaxsxi zavedeniye ekan, Taom ogizda eriydi edi.",4
"Asabim buzildi! Dizayn sovuq keldi, pulum isrof bo'ldi.",1
"Shovqin juda kuchli edi, sherigim bilan gaplasha olmadik.",2
"blyuda achchiq edi, xizmat esa qopol. Pulum isrof boldi.",2
"Tozalik yangi va issiq keldi edi, lekin xizmati nolga teng.",3
"Taom acxcxiq edi, xizmat esa e'tiborsiz. Pulum isrof bo'ldi.",2
"Kutganimdek cxiqmadi, Taom muzdek sovuq keldi.",2
"Asabim buzildi! Dizayn sovuq keldi, zaharlandim.",1
"Bu restoran xizmati dahshatli, kasal bolib qoldim. Hech kimga tavsiya qilmayman.",2
"Yomon tajriba, yana kelmasam kerak.",2
"Taomlar nihoyatda mazali, xizmat eng yuqori professional darajada.",5
"Taom muzdek sovuq keldi bo'ldi, hafsalam pir bo'ldi. Bu shunchaki dahshat.",2
"Muhit pishirilishi alo darajada edi, lekin xizmati sekin.",4
"Barcxasi zo'r! Muxit mukammal, joy juda toza va sxinam ekan.",5
"Buyurtmani unutib qo'yishdi, qayta eslatishga to'g'ri keldi.",2
"Bu restoran atrof iflos, kasal bolib qoldim. Hech kimga tavsiya qilmayman.",1
"Taomlari juda yangi va mazali, dostlarimni xam olib kelaman. Raxmat povar akalarga!",5
"Asabim buzildi! Tozalik kuyib ketgan ekan, bayramim barbod boldi.",1
"Asabim buzildi! Muhit sho'r bo'lib ketgan, kasal bo'lib qoldim.",1
"Oilaviy kecha uchun ideal joy, hammamizga juda yoqdi.",5
"Asabim buzildi! Muhit sovuq keldi, qimmatli vaqtim ketdi.",1
"Barchasi zor! Taom mukammal, narxi adolatli va hamyonbop.",5
"Asabim buzildi! Muhit kuyib ketgan ekan, bayramim barbod bo'ldi.",1
"Yaxsxi restoran ekan, Joylasxuv yangi va issiq keldi edi.",4
"Idishlar iflos, Taom dahshatli darajada yomon, bayramim barbod boldi.",1
"Bu restoran xizmati dahshatli, pulum isrof boldi. Hech kimga tavsiya qilmayman.",1
"Asabim buzildi! Narx eski edi, pulum isrof bo'ldi.",1
"Tozalik judayam maza qildik edi, lekin xizmati etiborsiz.",3
"Asabim buzildi! Dizayn xom ekan, bayramim barbod bo'ldi.",1
"Asabim buzildi! Muxit kuyib ketgan ekan, qimmatli vaqtim ketdi.",1
"Barcxasi zo'r! eda mukammal, porsiyalar kutilganidan katta edi.",4
"Bugun beshbarmoqni o'zim bilan olib ketishga 2ta zakaz berdim. Zakazdan oldin menyuga qarasam narxi 75 000 ekan. Zakaz berishdan oldin Kassadagi hodimdan narxini so'rasam 80000 so'm dedi. Nega qimat etvossan menyuda 75000ku desam, - bugun o'zgardi osez olin deydi. Administratorini chaqirin 2 ta menudagi narxlarni ko'rsatsam, telefonidagi rasmdagi menyuni ko'rsatib hodimlar ulgurmabdi deydi. Unda nega hamma menyularda 75000 somligini isbotlab berib,  mijozlarga bitta narxni ko'rsatib, kassada boshqa narxni ko'rsatish qonunga hilofligini etqazganimdan keyin 75000dan hisoblab berib 2 ta besh barmoqga 4 idish yozib qo'shib di. Nega to'rta desam suyug'i bitta idishga quyug'i boshqa idishga dedi. Ho'p maylin deb qozon tepasiga borib 10 min kutib tursam, bir payt zakaziz tayyor deb 2ta idishda bervoti. Nega 4ta idish ezgan desam  sizga ishlatgan idish katta idish deydi. Ikkinchi bu dargoxga qadam bosmayman dedim. Insofsizlar menyuga bitta narx kassada boshqa narx urib beryapti. Cheki ber posudayam korsatilgan bo'lsin dedim. U erda 80000dan uribdi,  nega baribir bilganini qilding desam. Pul echgan chekizda 10000 kam urdim deydi. Pul echgan chekida nimaga qancha echganini ko'rsatmagan. Agar buyurtma qilingan narsalarni narxini korsatmagan chekni soramasa nimaga qancha to'tanganizni bilmay qolarkansiz. 2 ta berilmagan idishni haqini so'rab borishga hohishim ham qomadi, qattiq ranjidim. Bu holatni yaqinlarimga aytib bersam ular ham menyuda boshqa kassada qimmat narx bilan hisoblab berishganini aytishdi. Hech kimga bu joyga borishni tavsiya qilmayman.",1
"Chilonzor S kvartilda joylashgan Rayhon milliy taomlari chilonzor filalida 22.02.26 sanada iftorlik uchun 3 ta dost birga ovqatlandik salat va ovqat buyurtma qildik MIJISKOY KAPRIZ salatidagi gosht yaxshi pishmagan 2 kishi ozroq istemol qildik bitta sherigimiz yoqmadi deb istemol qilmadi ogizda chaynagan vaqtda umuman chaynalmaydi osha kuni kechqrun ertalabgacha ich ogrigidan qiynaldik hech kimga shikoyat yoki etiroz bildirganim yoq shunchaki xatosini togirlashi va mendan keyingi mijozlar bunday muommoga uchramasligi uchun @rayhonmilliy.uz instagram akkauntiga lichkasiga yozib muommoni etib otdim menga Xikmatillo isimli bosh oshpaz qongiroq qilib bir kunda 150 aynan shu salatdan tayyorlashi va sotishini mendan bowqa hech kim shikoyat qilmaganligi va bunda ogir ovqatlarni yeganligim un ozim aybdor ekanligimni aytdi, afsus ular shu muommoga etibor berishi uchun aytgan edim ular bolsa ozimni aybdorga chiqardi bitta ozimda bolganda ham togri qabul qilish mumkin 2 kishida ham shunaqa ich ogrigi boldi, Rayhon milliy taomlar oilaviy boradigan joy asosan yosh bolalar va qariyalarda shunday holat kuzatilsa agar ancha ogir otadi. Masul hodimlardan jiddiy etibor qaratishini sorab qolamiz...",1
"Ofitsiant chaqirsak ham qaramadi birinchi, ancha vaqtda keldi. Suyuq ovqat issiqmasidi atak atmosfera yaxshi ekan.",2
"Ovqati shirin, mazali ekan, ayniqsa IceTea degan kompoti juda yoqdi. Ovqat tanlashga o'ylanayotganlar bo'lsa maslahatim ko'za shorvasini iching. Ta'mi og'zingizda qoladi. Xizmat ko'rsatishlari yaxshi, toza va pokiza. Kutib olishdan tortib kuzatib yuborishlari ham yaxshu. Ishchilarni kiyimiga ham alohida e'tibor qaratilgan ekan. Ofitsiantlar alohida kiyimda, yig'ishtiruvchilar alohida. Eng asosiysi asosiysi narxi ham qimmat emas. Ishlaringga omad!",5
"Ovqati yaxshi lekin, xizmat va ofitsiantlarning muaomalasi nol. Ovqatni soboy solib bering desa idishni prosta tashab ketti. Keyin yana chaqirib soberasmi desam meni vazifammas dedi. Menejerdan so'rasam ofitsantni vazifasiga kiradi dedi lekin hech qanday chora ko'rilmadi. Unda Nima uchun xizmat haqqi olinadi?",1
Ovqatlari yaxshi lekin kakletlarini shashlikni qiymasida qiladi kakletdan yisam shashlikni yiganday bo'laman muhit yaxshi sharoit va ovqatga tanlov zor😇,4
"Shashlik buyurtma verdim va aytishim kerakki, buni yeyish imkonsiz edi.. Maza, tam umuman o'xshamagan ustiga ustak tuzsiz..
Ammo service va xizmatchilar ajoyib xushmuomala.",1
"Ofitsiantla qaramidi, 5 marta chaqirdim, oxiri keldi, koza shorva zakaz qildi, zakazi olib 20 minutdan keyn svet ochgan yogakan ddi koza shorva , hop dib uygur lagmon etti, 25 minutlada mashi ovqatti opkeldi na tam bor na korinish, insofam kerede oddiy makaronni uygur lagmon db opkeberdi. Umuman qaytib kirmiman qatortoldegi filialiga.",1
Райхон ошхонаси доставкаси жуда киммат экан расмда келтирган шашлик копи билан 400 гр гошт Хом холатида сарфланган + доставка 17000 ужас,1
Dastavka tormoz tezro keladi dib ovqat zakaz qisam 1 yarim soatda obkevoti nol silaga ozi bita yulduzchayam uvol tez yetkazishmas ochdan tez o’ldirish sanla,1
Taomlariga gap yo‘q. Faqat sal qimmatroq.,5
Koʻza shoʻrvaga gap yoʻq. Lekin ayoq tagi toza emas. Tozalovchilar orasida sansala mansalaliklar bor shu narsani ham yoʻqotsanglar. Insha Alloh aʼlo boʻladi.,4
"Taomlari mazali, xizmat ko‘rsatishlariyam yaxshi ekan.",5
"Xizmat sifati yaxshi emas, idishlarda singan va uchgan belgilar bor. Xaridorga nisbatan hurmat yaxshi emas!!!",2
Ofitsantlarida umuman muomula yoq osh ini aytmasa ham boladi ikki marta olib keldi ikkisida ham soch bilan ip chiqdi boshqasini olib kelishni aytganda qayoqdagi oshni olib keldi,1
"Чилонзор 9 кв райхон филиал даставка хизмати 0
2 соатда етказиб бермасдан ярим астановка жойга хам тормозланади узим бориб олиб келдим заказ куп двоти эшиги тегида етказиб бериш великла паражнак турган эди👎👎👎👎👎 …",1
"Servis yomon
Uzoq kutdik
Chiqib ketvokanimizda salati olib kelishdi
Obsluga yomon",1
"Ovqatlari juda zor mazzali biz har doim rayhon milliy toamlarga kirami,kiramiz oilaviy ishlarizga omad yaxshi ishlilar 😊😊😊🤗",5
Judayam mazali taomlar va ajoyib servis.,5
"Restaran sferasi bo'yicha mazali taomlari bilan mashhur bo'lgan Rayhon set restaranlari uchun bunaqangi servis umuman yarashmaydi! Bugun chilonzordagiga bordik. Ishchilar baqirib gaplashib o'tirishadi, biz ovqat kutayabmiz chaqirib so'rasek uzr unutibman deb xatto oshxonaga zakaz berishmabdi. Bumi xizmat",1
"Ovqatlari zor yaxshi mazali, narxi sal qimmatrogu lekin arziydi , medium baho beraman narxga lekin ovqatlari yoqadi , mastavasi goshi kop 😁",5
"Dastavka xizmati juda yomon, 1 soatdan  kup kutdik lekn 1 km chiqmaydi Rayxondan wu yergacha, operatorni umuman almashtirish kerak, aniq summa va vaqtini uzingiz taxmin qilishingz kerak buladi.",1
Ифтор килгани мехмон олиб боргандим. Мени уялтиришди. Ассорти таомларда шашлик ва гуштлари кора куя билан келди. Эьтиборсизлик бн пиширилган. Ошпазга 0,1
"Keldim, joy bormi deb so'rab o'tirdim. Zakaz olishlarini kutib o'tirsam, kelib bu joy band edi, boshqa joyga o'tib bo'shatib berolmaysizmi?, deyishdi. Vaholanki, boshqa joy yo'q edi. Keyin meni begona bir odam bilan o'tirishimni so'rashdi. Shunchaki chiqib ketdim. Joy band bo'lsa, belgi qo'yilmaydimi? Bo'sh deb mijoz o'tirgandan keyin yana turg'izish g'alati emasmi?",1
Juda ajoyib restorant ekan. Taomlari yaxshi xizmat koʻrsatishi ham yaxshi. U yerga kirganingizda darhol milliylikni his qilasiz. Yurtimizga kelayotgan turistlarga milliy taomlarimizdan tatib koʻrishi uchun ajoyib joy. 😊,5
"Restoranni ovqatlari zor. Kunduzi xizmat kursatish ham zor, lekin kechki payt 6 dan kn bardak. Eshikni oldidagi adras kiygan qizla charchaganidan, klientga qaragisi yoq. Muamala yaxshimas. Takeaway.uz voobshe pozor. Takeaway.uz dan zakaz qib bir soatdan kn uzim kelib olib ketdim. Ofitsantlar povardan baqirib zakaz qiladi. Hullas bunaqa restoranga kulturniy ishchilar yarashadi.",1
"Xizmat ko'rsatish sifati juda yaxshi, xodimlari xushmuomila.
Taomlari ham birdek, shirin va mazali.
Mashina uchun parkovka mavjud. Bu filialiga  ikki yoki uch marta bordim. Kamchiliklarni deyarli uchratmadim.
Tavsiya qilaman.",5
Ovqat mazali lekin xizmat ko’rsatish ( erkak ofitsiantlar) muomalasi juda juda yomon. Mijozga bunday muomala qilinmaydi. Ishchilar ko’proq muloyimroq kulib ishlasa mijoz ham xursand bo’lib chiqib ketadi. Tavsiya qilmayman.,1
"Hizmat korsatish sifati past. Stol va divan toza emasdi, ushoq bolib ketgan. Idishlani suvi bilan olib kelishdi.",1
"Joyi shinam, lekin xizmat ko'rsatish ACHINARLI ahvolda! Bizni muomalasi qo'pol xodim kutib oldi. Ovqat buyurdik yarim soat kutdik, nima bo'ldi deb so'rasak, kam qolipti 0,7 porsiyadan obkelamiz deyishdi. Shunda ham  xo'p dedik, kutdik, birozdan so'ng keyin kelib tugapti, boshqa ovqat aytinglar deydi???!!!",1
Rayhon milliy taomlari - restorani viloyat bo'yicha mashhur bo'lgan joylardan biri hisoblanadi. Siz bu yerga o'z oila a'zolaringiz Yoki do'stlaringiz bilan tashrif buyursangiz boladi. Ovqatlari judayam ajoyib. Yaqinlaringizni ham taklif qiling.,5
Juda yaxshi dam olish maskani. Taomlar ham juda mazali va ajoyib . Barchaga tavsiya qila olaman,5
"Iftorlikka bormoqchi boʻlsangiz 1 2 kun oldindan band qilib qoʻying, hamma filialida talab juda katta!",5
"Ovqatlari yaxshi!
Faqat ofitsant mijozga sal e'tiborliroq bo'lsa bo'lgan. O'tgan safar bizdan zakaz olib qaytib kelmadi va biz boshqasini chaqirdik",5
"Osh avallambor 350 gram ekan,boshqa erda esa 400 gram oshila tugrisi tuyimsiz buvotti gramini kupaytirvorila baraka topgurlar !!!",3
Assalomu alaykum hayrli tong. Men juda mamnunman. Hizmat uchun ham taom uchun ham juda mazali,5
"Gap yòq zõr joy. Ovqatlari mazali, afitsantlar hushmumola, chaqqon.Yana kõp bor tashrif buyurish niyyatidamiz.",5
"Xizmat ko`rsatish yomon, salqin ichimliklar ichish uchun oddiy stakan topib berisha olmaydi. Ofitsiantlari mashennik",1
Kolsentrda bita gapga chunmidgan anqov qiz oladi 1 soat oldin dastavka etgan busek 1 soatdan keyn qaytip tel qip  nima zakaz qiludiz diydi tente,1
"for the service O zero. But we want to see how are they unfortunately it was terribly horrible but for quality great. Hizmatiga 0 tartib qoida ummuman yoq. Aslida bir gina muzqaymogini deb kirgan edik.
Sifatiga 5.",1
"0 (nol) xizmat koʻrsatish.

Kassada doimiy navbat.
Afitsiantlar farosatsiz.

Yonizga kelib xangoma qilib oʻtirishadi.",1
Ish boshqaruvchi ayol saviyasi o'ta past xizmat ko'rsatish umuman talabga javob bermaydi,1
hizmat ko'rsatish 0 odam bo'masayam,1
Stoldan zelen qoldiqlari qolib ketgan chala toalangan stol lekin ovqatlari yaxshi,3
Xizmatchilar Juda beetibor. Xizmat korsatish Juda yomon.Muomila madaniyati past.,1
"Alohida 4kishili kabinka kere diganda yõ qiberomimiz, hozi odam qõymayammiz dib taq etib trupkani qõp qõyishdi. Lekin xonalada õtirsa bõlarkan faqat oldindan zaynit qibomasakan👎🏻👎🏻👎🏻👎🏻 …",1
Qozon kabob yedim. Go'shtda umuman ta'm yo'q. Juda qimmat ham,2
Bu joy oylaviy ekan. Alkogol yoq va olib kirish ham mumkin emas ekan. Oilaviy kelganda mazza qilib o'tirib ovqatlanadigan joy ekan,5
Dostavkaga zakaz qilsangiz 1 soatdan kuproq vaqtda kelar ekan,4
"Yaqinimzda bo'lgani yaxshi, lekin tamaddixona yaxshilanishi zarur deb o'ylayman
Milliy taomlarning fast food versiyasi",3
"Assalomu alaykum!!☀️Xayrli kun!!🦋""Axmad Oltin Jo'ja"" Sergeli filiali Mo'ljal: ""Sergeli Mashina bozori"" yaqinida , ""La Crema"" yonginasida. ""Axmad Oltin Jo'ja"" Sergeli filiali judayam ajoyib. Bizga judayam yoqdi. Atmosfera ajoyib , xizmat ko'rsatish a'lo darajada , bir biridan mazali taomlar, salatlar, shirinliklar va muzqaymoqlar hamma hammasi juda va juda ajoyib bizga manzur bo'ldi. Nasib qilsa yana ""Axmad Oltin Jo'ja""ga borishni rajalashtirdik❤️""Axmad Oltin Jo'ja""da faoliyat yuritayotgan hamma hammaga kattakon rahmat🤍omad va muvaffaqiyatlar tilaymiz , ijodlaringiz yanada rivojlanaversin✨️",5
"Atmasfera-oddiygina SUPER.
Ofitsantlar xam juda muomilali. Birorta noxush xid sezmadim.
Xammasi KLASS!",5
"Hosh ofetsant Mirzohid bu odamga xizmat kórsatishdi órgatinglar hech bir restorantga buyurtmani olib kelib mehmondi qoliga bermaydi joylashtir deb. Ofetsand turib ovqatni stolga men qóyishim bu noqulay
bolmasam ózi óziga xizmat qilib qóyinglar
yoki bu choyxona hech qacho restaratorga uchramagan.",1
Jo'ja pishirish bo'yicha Toshkenda birinchi darajali desam adashmayman.,5
"Xizmat ko’rsatish 0

Ofitsiantla faqat tig’ilgan kun tabriklash uchun kelgan!",1
"Taomlari mazali, xizmat korsatish tez va narxlari ham hamyon bob👍",5
"Сергели Олтин сервис хизмати 000, тел кўтаришмиди, клиент силарни хурмат қилиб келади овқати яхши хизмати яхши деб, 80 марта тел қилдик кўтаришмади",1
"Sergeli avtomobil bozori to'g'risida yo'l bo'yida joylashgan shinam joy, jo'jani yaxshi tayyorlashadi, shuningdek baliqni ham. Salbiy tomoni esa juda, hatto ishtaxani bo'g'adigan darajada shovqin, musiqa ovozi juda baland, gaplashib o'tirishga imkon yo'q. Kaboblarini tuzi baland.",3
"Taomlari mazali,xizmat ko’rsatish yaxshi,faqat atmosfera juda shovqinli,musiqa juda baland qo’yilgan. «С собой» uchun sharoit juda yaxshi, kassaga to’lov qilasiz va taslim punktlaridan tez fursatda buyurmangizni qabul qilib olasiz . Parkovka masalasi ham nisbatan yaxshi, yondagi ko’chada qo’shimcha parkovka yeri mavjud(pullik). Shovqinda taomlanishni sevuvchilar uchun yaxshi joy. Fransuz salati o’zgacha mazzali va yevro qanotchalar ham . Musiqa masalasini ko’rib chiqishlarini tavsiya qilar edim.",4
"Keng zal, mazali taomlar va yaxshi xizmat ko'rsatish. Algoritm filialidan ko'ra xizmat ko'rsatish sifati yaxshiroq ekan. Rahmat.",4
Xizmat sifati eng zo'r joy ofitsantlari  zo'r hamma narsasi shirin mazali yana kayfiyat ulashuvchi. Ayiqchasi rosa zo'r.Kelgan odam xursand bo'ladi,5
"Офицантларни тезлиги хозир келамани, учун бу бахо, торт кесиб келиши 30 35 дакика кутдик, а так бошка нарсаларига гап йук",4
"Hizmat yuksak darajada.
Afintsiantla hushmuomola, chaqqon.
Ayniqsa Fahriddin ismli afitsant.",5
"Жойи жуда чиройлик тоза. Одам куп, овкатлари мазали. Маслахат бераман",5
Joyi yoqdi hamma narsasi joyida lekin bugun bordim shot ob kelishdi yegan ichganimiz 285000 li ovqat choy bosa bizga 549000 ming schot berishdi kassaga toladim uyga kelib xisoplasam 200000 som qoshilgan joyi bor edi shunisiga tushnmadim man nimaga 200 ming qattan qoshilganiga bu yokida afitsantlarni levasimi,5
"Judayam joʻr noronları ham
Bepulga 1kg norin bersa yanayam yaxshi boʻladi",5
"Табакани жинниси шу ерда лекин. Жуда мазали. Оилавий, яқинлар билан билан овқатлангани ажойиб маскан.",5
"Hizmat ko'rsatishda o'z ustilada ishlela Axmad Oltin jo'ja ""Premium"" db qo'ygansila ln umuma yaqinigayam kemidi hizmat ko'rsatishila",3
"Juda yaxshi joy, narxlar o'rtacha tavsiya qilaman",5
Joyga gap yoq joyida borib yesez hammasi alo nu dastavka dabdala aperatorla yolgonchi yetkazib berish -0,1
tarifga til ojis,5
ovqatlari yaxshi lekin xizmat 0,3
"Yaxshi joy, maslahat beraman",5
Sharoyti zor ovqatlari shirin hizmatlayam zor,5
Ovqatlariga gap bòlishi mumkin emas,5
Ovqatlari yaxshi va toza,5
Tahrirlangan: 1 yil oldin,5
Yaxshi joy gavjum,5
Ajoyib hamma tomondan juda yaxshi uylangan,5
Bu joy ovqatlari ajoyib milliy taomlar turkcha taomlar mavjud ovqatlaridan men asosan somsa yoki shashlik yeyman somsani juda zor deya olmayman qanday xamri oddiy va kartoshkada muomo mavjud shashliki zor toza goshtni mazzasi keladi hizmat sifat yaxshi absluga qimmat ammo atmosfera ajoyib ichki interveyr,4
"Ahmad Oltinjoja (Sergeli filiali) — ochig‘i, bu joyga kirganimdan afsuslandim.
Soat 22:20 da bordim. Mijozni kutib olish, joy ko‘rsatish o‘rniga, xodimlar birinchi bo‘lib yopilish vaqtini aytib, go‘yoki “kelsangiz ham kerakmas” degandek sovuq va bepisand muomalada bo‘lishdi. Bu — xizmat sohasida mutlaqo qabul qilib bo‘lmaydigan holat.
Buyurtma berganimdan keyin ovqatni deyarli 20 daqiqa kutdim. Ammo kutishga arzigulik xizmat ham, e’tibor ham yo‘q. Xostes o‘z vazifasini umuman bajarmaydi — mehmon bilan ishlash madaniyati sezilmaydi.
Eng ajablanarlisi — zaldagi boshqa ofitsiantlar o‘zlarining ichki muammolarini baland ovozda, mehmonlar yonida bemalol muhokama qilishdi. Bu esa joyning umumiy muhitini juda noqulay va professional bo‘lmagan darajaga tushiradi.
Bizga xizmat ko‘rsatgan ofitsiant Sanjar esa umuman e’tiborsiz — xizmat darajasi deyarli 0. Na tezkorlik, na hurmat, na oddiy servis standartlari bor.
Kassaga borganda esa alohida muammo: xizmatdan qoniqmaganimni ochiq aytdim va xizmat haqqini to‘lamaslikni so‘radim, faqat yegan ovqatim uchun to‘lashimni bildirdim. Lekin kassa xodimi bu gapni eshitishni ham istamay, baribir to‘liq summani talab qildi. Bu esa mijoz fikriga mutlaqo e’tibor berilmasligini ko‘rsatadi.
Xulosa qilib aytganda, bu filialda servis darajasi juda past. 15% xizmat haqqi bunday xizmat uchun umuman asossiz. Agar xizmat sifati o‘zgarmasa, bu joyga yana kelish haqida o‘ylash qiyin.",1
Atmosfera chiroylik va ozoda. Hodimlari huxmuomila,5
"Har tomonlama qulay
Taomlar mazali
Hizmat ko'rsatish a'lo",5
"Barcha taomlar mazali, lekin eng gavjum soatlarda joy yo'q. Juda shovqinli, bu esa ovqat haqida suhbatlashishni qiyinlashtiradi. Gap shundaki, ""keling, yeng, to'lang va keting"". Ofitsiantlar diqqat bilan qarashadi.",4
"Biz mazali Norinni yeyish uchun keldik va salat buyurtma qildik. Unda chirigan pomidor bor edi. Biz menejerni chaqirdik. Bir yigit kelib, muammo nima ekanligini so'radi. Biz unga tushuntirdik va ko'rsatdik. Oshxona xabar berishi uchun hamma narsani topshirdik. Yigirma daqiqadan so‘ng yana bir yigit kelib, o‘zini boshqaruvchi ekanligini aytdi. Muammo nimada ekanligini so‘radi. Biz tushuntirdik. U qaytib keldi va hamma narsa yangi ekanligini aytdi. Biz undan pomidorni qaytarib, hidlashini talab qildik. Biz undan oldin kim kelganini so'radik. Ma'lum bo'lishicha, styuardessa u bilan hal qilish uchun ketgan. Ikkalamiz hamma narsa yangi ekanligini isbotlash uchun qaytib keldik. Pomidorlar izsiz g'oyib bo'ldi. Butun tsirkni tomosha qilib, nihoyat sabrimizni yo‘qotdik. Biz oshpazni xabardor qilishni xohlayotganimizni tushuntirdik. Ular hamma narsa yangi ekanligini ta'kidlashda davom etishdi, lekin ular bizning hisobimizga salat qo'shishmadi. Biz hamma narsani to'laymiz, deb javob berdik, lekin kayfiyatimiz buzildi. Xulosa: salat hisob-kitobga qo'shilmagan, yomon kayfiyat va tajribani hisobga olmaganda.
P.S. Ofitsiantlar rus tilini bilishmaydi va menyudan nimani so'rayotganingizni tushunmaydilar. Men qilgan odamni kutishim kerak edi.
Shahardagi havo ifloslanishining hozirgi darajasini hisobga olsak, ular eshikni keng ochishadi va xonani chang to'ldiradi!",1
"Joy go'zal, ichki betakror, taomlari yaxshi, lekin boshqa hech narsa yo'q. U yerda odamlar ko‘p, tushlik vaqtida joy topish juda qiyin. Agar siz kichikroq taomlarga buyurtma bersangiz, ofitsiantlar sizni qat'iyat bilan shoshilishadi, shuning uchun siz tinchgina o'tirib ovqatlana olmaysiz.",3
"Ovqat ajoyib, ayniqsa tovuq go'shti. Go'sht suvli va ziravorli, hamma narsa mazali. Menga baqlajonli tiniq salat yoqmadi; atigi 70 000 rubl uchun, menimcha, unda juda oz miqdordagi ingredientlar bor edi. Bu shirin va nordon sousda va gilos pomidorida faqat qovurilgan patlıcan edi. Menimcha, bu narx uchun ular rukkola va qaymoqli pishloq qo'shishlari mumkin edi. Xizmat a'lo darajada; hamma narsa tezda keltiriladi va bo'sh plastinkalar ham olib tashlanadi.
Yagona salbiy tomoni shundaki, bu filialda kabinalar yo'q, shuning uchun ovqat xonasi olomon va baland musiqa tufayli juda shovqinli.",5
"Ahmad Juja, Sergelinskiy filiali. Yo'l bo'yida qulay joylashgan. Bino katta va chiroyli. Qabulxona bor. Ko'pincha band bo'ladi. Oldindan band qilish yoki navbatda kutish kerak. Yaxshiyamki, biz atigi to'rt daqiqa kutishimiz kerak bo'ldi. Ikkinchi qavatda o'rindiq ochildi. Bu VIP zal edi. Bu yakshanba kuni soat 13:00 da edi. VIP zalda besh-olti kishilik to'rtta stol bor. Birinchi qavatning ko'rinishi juda chiroyli.

Ofitsiant juda xushmuomala va yordamchi edi. U ko'pincha bizga boshqa biror narsa kerakmi, deb so'rash uchun kelardi.

Ofitsiant avval ichimlik buyurtmalarimizni qabul qildi va tezda qaytib keldi. Biz mo'ynali palto ostidagi seldni buyurtma qildik; dizayni juda chiroyli va salatning o'zi mazali. Shuningdek, biz juda mazali bo'lgan ""Aleksandr kuchi"" salatini ham buyurtma qildik. Biroq, tuzlangan bodring ta'mini yengib o'tdi; aytmoqchi, bu salat asosiy taomdan keyin oxirgi bo'lib yetib keldi. Biz farzandimiz uchun KFC to'plami bilan kartoshka buyurtma qildik. Hammasi juda yangi, issiq va mazali edi, ikkita sous bilan tortildi. Asosiy taom sho'rva bilan norin edi. Norin xamiri yupqa va mazali. Biz bir necha marta limonli choy buyurtma qildik; men uni juda shirin deb topdim, shirinliklar esa butunlay boshqa hikoya. Mevali cheesecake juda yumshoq va og'zingizda erib ketdi — men uzoq vaqtdan beri bunday mazali shirinlikni yemagan edim. Ikkinchi shirinlik pista rulet edi; qaymoq men uchun biroz to'yimli edi, lekin u juda mazali ham edi.

Hamma joyda toza, jumladan, suyuq sovun va qog'oz sochiqlar bilan jihozlangan ayollar hojatxonasi ham.

Ahmad Oltinjujaning barcha filiallarida mazali taomlar taqdim etiladi va mijozlar asosan o'zbek tilida so'zlashuvchilar. Lekin restoranning o'zi juda chiroyli va hurmatga loyiq.",5
"Xodimlar buyurtmalarni qabul qilish uchun yetarlicha o'qitilmagan edi. Ko'pgina taomlar buyurtma berilganidan ancha keyin ham mavjud emasligi aytilgan. Ofitsiantdan ichimliklar haqida so'raganimda, u menga muzli choy va mojito haqida gapirib berdi. Men unga ikkalasini ham xohlamasligimni aytdim va ajablanarlisi shundaki, u ikkita shaurma olib keldi, biri muzli choy uchun, ikkinchisi esa mojito uchun. Keyinchalik, ularda ichimliklar ham borligini bildim. Bu ofitsiantning johilligidan, yovuzligidan emas edi. Men buyurtma qilgan go'shtli taom to'g'ri pishirilmagan edi. Ovqatlanayotganimizda oshxonada yong'in chiqqani sababli zalni tutun to'ldira boshladi. Shunga qaramay, rahbariyat mijozlar xavfsizligini ta'minlash uchun restoranni evakuatsiya qilmadi. Men xodimlardan biriga darhol o't o'chirish bo'limiga qo'ng'iroq qilib, barcha mijozlar va xodimlarni evakuatsiya qilishlarini aytib, tanbeh berganimdan so'ng, u menga e'tibor bermadi. Aytgancha, to'rtta o't o'chirish mashinasi va ikkita tez yordam mashinasi yetib keldi va men restorandan chiqish bilan band bo'lganim uchun ikki baravar ko'p pul to'ladim. Bu tajribani takrorlashga arzimaydi.",2
"Avtoturargoh pullik va kuryer ovqat yetkazib berganida, uni gapira olmaydigan odam kutib oladi. U kuryerlarni haydab chiqaradi. Ular u yerga qanday yetib borishadi? Administratorlar, iltimos, ularga kuryerlarga avtoturargohda mashina qo'yishga ruxsat berishlarini ayting. Ular u yerda uzoq vaqt mashina qo'yishmaydi; ular yetkazib berishni olib ketishadi.",1
